"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Age characteristics","    55 to 59 years",,    2930,,    1400,,    1525,, 2620240,, 1285190,, 1335055,
"Age characteristics","    60 to 64 years",,    2575,,    1180,,    1390,, 2290510,, 1114885,, 1175630,
"Age characteristics","  65 years and over",,    8025,,    3255,,    4770,, 5935630,, 2695150,, 3240485,
"Age characteristics","    65 to 69 years",,    2240,,    1000,,    1240,, 1972480,,  953075,, 1019405,
"Age characteristics","    70 to 74 years",,    1500,,     655,,     845,, 1420875,,  677975,,  742900,
"Age characteristics","    75 to 79 years",,    1540,,     650,,     895,, 1021850,,  469550,,  552300,
"Age characteristics","    80 to 84 years",,    1185,,     440,,     745,,  749650,,  325765,,  423880,
"Age characteristics","    85 years and over",,    1550,,     505,,    1045,,  770780,,  268790,,  501990,
"Age characteristics","      85 to 89 years",,     910,,     320,,     585,,  482525,,  185535,,  296990,
"Age characteristics","      90 to 94 years",,     495,,     140,,     355,,  223510,,   68675,,  154835,
"Age characteristics","      95 to 99 years",,     120,,      40,,      80,,   56525,,   13240,,   43280,
"Age characteristics","      100 years and over",,      25,,       5,,      20,,    8230,,    1340,,    6890,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   13.1,,   14.6,,   11.8,,   16.6,,   17.3,,   15.9,
"Age characteristics","  15 to 64 years",,   67.3,,   68.2,,   66.4,,   66.5,,   67.1,,   66.0,
"Age characteristics","  65 years and over",,   19.7,,   17.2,,   21.8,,   16.9,,   15.6,,   18.1,
"Age characteristics","    85 years and over",,    3.8,,    2.7,,    4.8,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   43.4,,   41.4,,   45.2,,   41.0,,   40.1,,   41.9,
"Age characteristics","Median age of the population",,   43.6,,   41.2,,   45.4,,   41.2,,   40.2,,   42.2,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   15575,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,    3235,,,...,,..., 7541495,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,    9330,,,...,,..., 1391040,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,    3010,,,...,,..., 4949795,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,     840,,,...,,...,  698800,,,...,,...
"Household and dwelling characteristics","    Row house",,     685,,,...,,...,  891305,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,     475,,,...,,...,  784300,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,    1005,,,...,,..., 2539390,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,       5,,,...,,...,   36005,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,       0,,,...,,...,  189755,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   15575,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  1 person",,    4070,,,...,,..., 3969790,,,...,,...
"Household and dwelling characteristics","  2 persons",,    4650,,,...,,..., 4834605,,,...,,...
"Household and dwelling characteristics","  3 persons",,    2985,,,...,,..., 2140640,,,...,,...
"Household and dwelling characteristics","  4 persons",,    2350,,,...,,..., 1946275,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    1520,,,...,,..., 1180770,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,   40345,,,...,,...,34460060,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.6,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,   35460,,   16180,,   19280,,29312160,,14271280,,15040885,
"Marital status","  Married or living common law",,   18605,,    9145,,    9465,,16893720,, 8452135,, 8441585,
"Marital status","    Married",,   17125,,    8410,,    8710,,13383455,, 6693465,, 6689990,
"Marital status","    Living common law",,    1485,,     735,,     750,, 3510265,, 1758670,, 1751590,
"Marital status","  Not married and not living common law",,   16850,,    7030,,    9815,,12418440,, 5819140,, 6599300,
"Marital status","    Never married",,   10215,,    5200,,    5020,, 8254340,, 4444425,, 3809915,
"Marital status","    Separated",,    1145,,     435,,     710,,  718295,,  309905,,  408400,
"Marital status","    Divorced",,    2915,,    1000,,    1915,, 1816005,,  725535,, 1090470,
"Marital status","    Widowed",,    2570,,     400,,    2170,, 1629800,,  339280,, 1290525,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   11285,,,...,,..., 9840730,,,...,,...
"Family characteristics","  2 persons",,    5370,,,...,,..., 5007790,,,...,,...
"Family characteristics","  3 persons",,    3020,,,...,,..., 2107830,,,...,,...
"Family characteristics","  4 persons",,    2135,,,...,,..., 1909935,,,...,,...
"Family characteristics","  5 or more persons",,     755,,,...,,...,  815170,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   11285,,,...,,..., 9840730,,,...,,...
"Family characteristics","  Total couple families",,    8795,,,...,,..., 8227925,,,...,,...
"Family characteristics","    Married couples",,    8050,,,...,,..., 6474005,,,...,,...
"Family characteristics","    Common-law couples",,     745,,,...,,..., 1753920,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    2490,,,...,,..., 1612805,,,...,,...
"Family characteristics","    Female parent",,    2145,,,...,,..., 1262340,,,...,,...
"Family characteristics","    Male parent",,     340,,,...,,...,  350465,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,    8795,,,...,,..., 8227925,,,...,,...
"Family characteristics","  Couples without children",,    3745,,,...,,..., 4024305,,,...,,...
"Family characteristics","  Couples with children",,    5045,,,...,,..., 4203615,,,...,,...
"Family characteristics","    1 child",,    2350,,,...,,..., 1650165,,,...,,...
"Family characteristics","    2 children",,    1985,,,...,,..., 1783080,,,...,,...
"Family characteristics","    3 or more children",,     710,,,...,,...,  770375,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    2490,,,...,,..., 1612805,,,...,,...
"Family characteristics","  1 child",,    1630,,,...,,...,  983485,,,...,,...
"Family characteristics","  2 children",,     665,,,...,,...,  457670,,,...,,...
"Family characteristics","  3 or more children",,     195,,,...,,...,  171655,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,    7990,,    3045,,    4945,, 6107260,, 2941395,, 3165865,
"Household type","Total - Private households by household type - 100% data",12,   15575,,,...,,...,14072075,,,...,,...
"Household type","  One-census-family households",,   10155,,,...,,..., 9218225,,,...,,...
"Household type","    Without children in a census family",13,    3325,,,...,,..., 3782095,,,...,,...
"Household type","    With children in a census family",14,    6830,,,...,,..., 5436135,,,...,,...
"Household type","  Multiple-census-family households",,     550,,,...,,...,  301715,,,...,,...
"Household type","  Non-census-family households",,    4870,,,...,,..., 4552135,,,...,,...
"Household type","    One-person households",,    4065,,,...,,..., 3969790,,,...,,...
"Household type","    Two-or-more person non-census-family households",,     800,,,...,,...,  582350,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,   40430,,   18820,,   21615,,34767255,,17101170,,17666080,
"Knowledge of official languages","  English only",,   35555,,   16785,,   18770,,23757525,,11838075,,11919455,
"Knowledge of official languages","  French only",,      40,,      20,,      15,, 4144685,, 1925845,, 2218840,
"Knowledge of official languages","  English and French",,    2625,,    1130,,    1500,, 6216065,, 3071325,, 3144740,
"Knowledge of official languages","  Neither English nor French",,    2215,,     885,,    1330,,  648970,,  265920,,  383045,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,   40430,,   18820,,   21615,,34767250,,17101165,,17666085,
"First official language spoken","  English",,   37240,,   17505,,   19735,,26007500,,12852330,,13155165,
"First official language spoken","  French",,     425,,     190,,     235,, 7705755,, 3780105,, 3925650,
"First official language spoken","  English and French",,     580,,     250,,     325,,  417485,,  209130,,  208355,
"First official language spoken","  Neither English nor French",,    2185,,     875,,    1315,,  636515,,  259600,,  376910,
"First official language spoken","Official language minority (number)",17,     715,,     315,,     400,, 7914495,, 3884670,, 4029825,
"First official language spoken","Official language minority (percentage)",17,    1.8,,    1.7,,    1.9,,   22.8,,   22.7,,   22.8,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,   40430,,   18815,,   21610,,34767255,,17101170,,17666085,
"Mother tongue","  Single responses",,   38525,,   17980,,   20545,,33948620,,16702840,,17245775,
"Mother tongue","    Official languages",,   12960,,    6370,,    6585,,26627555,,13201620,,13425940,
"Mother tongue","      English",,   12605,,    6215,,    6390,,19460850,, 9680125,, 9780725,
"Mother tongue","      French",,     360,,     160,,     195,, 7166705,, 3521495,, 3645215,
"Mother tongue","    Non-official languages",,   25570,,   11610,,   13955,, 7321065,, 3501220,, 3819840,
"Mother tongue","      Aboriginal languages",,       0,,       0,,       0,,  195700,,   94795,,  100900,
"Mother tongue","        Algonquian languages",,       0,,       0,,       0,,  130450,,   62930,,   67520,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,    2815,,    1325,,    1490,
"Mother tongue","          Cree-Montagnais languages",,       0,,       0,,       0,,   88445,,   42920,,   45530,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,    6150,,    3135,,    3015,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,   10230,,    4885,,    5350,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,     100,,      50,,      55,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,    1205,,     590,,     620,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,     315,,     125,,     190,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,    3065,,    1360,,    1710,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,    1440,,     585,,     850,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,    1840,,     865,,     975,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,   64050,,   31305,,   32745,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,    6990,,    3310,,    3680,
"Mother tongue","            Malecite",,       0,,       0,,       0,,     305,,     140,,     160,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,    6690,,    3170,,    3520,
"Mother tongue","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,   32150,,   15350,,   16800,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,    1260,,     590,,     670,
"Mother tongue","            Ojibway",,       0,,       0,,       0,,   17890,,    8440,,    9450,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,   12855,,    6260,,    6595,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     150,,      65,,      85,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,      45,,      25,,      20,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,   17365,,    8325,,    9045,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,   17315,,    8310,,    9010,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,     110,,      55,,      60,
"Mother tongue","            Beaver",,       0,,       0,,       0,,     190,,      85,,     105,
"Mother tongue","            Carrier",,       0,,       0,,       0,,    1025,,     465,,     565,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,     660,,     295,,     360,
"Mother tongue","            Dene",,       0,,       0,,       0,,   10700,,    5185,,    5515,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,    1645,,     840,,     815,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,     260,,     110,,     145,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      80,,      25,,      50,
"Mother tongue","            Sekani",,       0,,       0,,       0,,      90,,      45,,      45,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,    1995,,     950,,    1045,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,     765,,     365,,     400,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,     945,,     455,,     495,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,     280,,     130,,     150,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,     270,,     135,,     140,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,     180,,      90,,      90,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,      95,,      40,,      50,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,     290,,     120,,     170,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,     215,,      90,,     135,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,      70,,      30,,      40,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,      50,,      20,,      35,
"Mother tongue","        Haida",,       0,,       0,,       0,,      75,,      35,,      40,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,   36545,,   18100,,   18445,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,    1025,,     445,,     575,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,   35215,,   17530,,   17680,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,     315,,     125,,     185,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,    1115,,     485,,     635,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      45,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,     980,,     430,,     555,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      20,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      35,,      15,,      20,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,     105,,      55,,      55,
"Mother tongue","        Michif",,       0,,       0,,       0,,     465,,     230,,     235,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,    2305,,    1130,,    1180,
"Mother tongue","          Comox",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,     475,,     225,,     245,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,     315,,     155,,     155,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,     445,,     225,,     220,
"Mother tongue","          Squamish",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Straits",,       0,,       0,,       0,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,     335,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,     255,,     135,,     125,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,    4285,,    2070,,    2220,
"Mother tongue","          Dakota",,       0,,       0,,       0,,    1215,,     570,,     635,
"Mother tongue","          Stoney",,       0,,       0,,       0,,    3025,,    1465,,    1555,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,      55,,      30,,      25,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      95,,      40,,      55,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,    1480,,     730,,     755,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,     880,,     435,,     445,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,     400,,     200,,     200,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,     200,,      90,,     110,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,     805,,     370,,     435,
"Mother tongue","          Haisla",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,      95,,      40,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,     325,,     145,,     185,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,     285,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     585,,     295,,     295,
"Mother tongue","      Non-Aboriginal languages",,   25565,,   11610,,   13960,, 7125365,, 3406425,, 3718945,
"Mother tongue","        Afro-Asiatic languages",,     980,,     520,,     460,,  575365,,  298060,,  277300,
"Mother tongue","          Berber languages",,       5,,       5,,       0,,   22135,,   11865,,   10270,
"Mother tongue","            Kabyle",,       5,,       0,,       0,,   13150,,    6995,,    6155,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       0,,       0,,    8985,,    4865,,    4115,
"Mother tongue","          Cushitic languages",,       5,,       0,,       5,,   42885,,   20095,,   22790,
"Mother tongue","            Bilen",,       0,,       0,,       0,,     805,,     455,,     350,
"Mother tongue","            Oromo",,       0,,       0,,       0,,    4960,,    2560,,    2400,
"Mother tongue","            Somali",,       5,,       0,,       5,,   36755,,   16895,,   19865,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,     365,,     195,,     170,
"Mother tongue","          Semitic languages",,     970,,     515,,     455,,  509190,,  265465,,  243725,
"Mother tongue","            Amharic",,      10,,      10,,       5,,   22465,,   10720,,   11745,
"Mother tongue","            Arabic",,     230,,     125,,     105,,  419890,,  220785,,  199105,
"Mother tongue","            Assyrian Neo-Aramaic",,      10,,       5,,       5,,   16070,,    7910,,    8160,
"Mother tongue","            Chaldean Neo-Aramaic",,       5,,       0,,       0,,    5545,,    2780,,    2770,
"Mother tongue","            Harari",,       0,,       0,,       0,,    1320,,     635,,     685,
"Mother tongue","            Hebrew",,     695,,     365,,     330,,   19530,,   10480,,    9045,
"Mother tongue","            Maltese",,       0,,       0,,       5,,    5565,,    2765,,    2800,
"Mother tongue","            Tigrigna",,      15,,      10,,       5,,   16650,,    8310,,    8340,
"Mother tongue","            Semitic languages; n.i.e.",,       5,,       5,,       5,,    2155,,    1085,,    1070,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,    1155,,     635,,     520,
"Mother tongue","        Austro-Asiatic languages",,     100,,      45,,      55,,  176725,,   81810,,   94920,
"Mother tongue","          Khmer (Cambodian)",,      10,,       5,,       5,,   20130,,    9270,,   10860,
"Mother tongue","          Vietnamese",,      90,,      40,,      50,,  156425,,   72470,,   83955,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,     170,,      65,,     100,
"Mother tongue","        Austronesian languages",,    5885,,    2290,,    3595,,  511480,,  211580,,  299900,
"Mother tongue","          Bikol",,      15,,       5,,      10,,    1790,,     790,,    1000,
"Mother tongue","          Cebuano",,     190,,      75,,     120,,   19890,,    7930,,   11960,
"Mother tongue","          Fijian",,       0,,       0,,       0,,     745,,     400,,     345,
"Mother tongue","          Hiligaynon",,     105,,      40,,      65,,    6885,,    2680,,    4205,
"Mother tongue","          Ilocano",,     705,,     285,,     420,,   26345,,   10620,,   15720,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,    1430,,     665,,     760,
"Mother tongue","          Malay",,      25,,      10,,      10,,   12275,,    5255,,    7020,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      40,,      10,,      30,,    4040,,    1865,,    2175,
"Mother tongue","          Pangasinan",,      10,,       0,,       5,,    1390,,     590,,     800,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    4705,,    1830,,    2870,,  431380,,  178575,,  252810,
"Mother tongue","          Waray-Waray",,       5,,       5,,       5,,    1110,,     430,,     675,
"Mother tongue","          Austronesian languages; n.i.e.",,      95,,      30,,      60,,    4195,,    1770,,    2425,
"Mother tongue","        Creole languages",,      30,,      15,,      15,,   72125,,   32310,,   39820,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,    3030,,    1445,,    1590,
"Mother tongue","          Creole; n.o.s.",,      15,,      10,,       5,,   64105,,   28455,,   35660,
"Mother tongue","          Creole languages; n.i.e.",,      10,,       5,,      10,,    4985,,    2410,,    2575,
"Mother tongue","        Dravidian languages",,     160,,      85,,      80,,  189405,,   94765,,   94640,
"Mother tongue","          Kannada",,      10,,       5,,       5,,    3970,,    2040,,    1935,
"Mother tongue","          Malayalam",,      25,,      10,,      15,,   28570,,   14770,,   13800,
"Mother tongue","          Tamil",,      80,,      40,,      40,,  140720,,   69080,,   71640,
"Mother tongue","          Telugu",,      40,,      25,,      15,,   15655,,    8640,,    7020,
"Mother tongue","          Dravidian languages; n.i.e.",,       5,,       5,,       0,,     490,,     240,,     250,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     795,,     395,,     405,
"Mother tongue","        Indo-European languages",,   14270,,    6630,,    7640,, 3877330,, 1889400,, 1987930,
"Mother tongue","          Albanian",,     135,,      60,,      70,,   26890,,   13610,,   13285,
"Mother tongue","          Armenian",,     175,,      85,,      90,,   33455,,   16270,,   17185,
"Mother tongue","          Balto-Slavic languages",,    9030,,    4100,,    4925,,  701975,,  323640,,  378340,
"Mother tongue","            Baltic languages",,      85,,      35,,      50,,   12530,,    5315,,    7215,
"Mother tongue","              Latvian",,      40,,      25,,      20,,    5455,,    2350,,    3105,
"Mother tongue","              Lithuanian",,      45,,      15,,      30,,    7075,,    2965,,    4115,
"Mother tongue","            Slavic languages",,    8945,,    4060,,    4880,,  689450,,  318325,,  371115,
"Mother tongue","              Belarusan",,      15,,      10,,      10,,     810,,     385,,     430,
"Mother tongue","              Bosnian",,       5,,       0,,       0,,   12210,,    6035,,    6180,
"Mother tongue","              Bulgarian",,     125,,      65,,      65,,   20025,,    9675,,   10345,
"Mother tongue","              Croatian",,      35,,      15,,      15,,   48200,,   23540,,   24665,
"Mother tongue","              Czech",,      65,,      30,,      35,,   22290,,   10525,,   11765,
"Mother tongue","              Macedonian",,      30,,      15,,      15,,   16775,,    8050,,    8725,
"Mother tongue","              Polish",,     290,,     115,,     170,,  181710,,   82435,,   99275,
"Mother tongue","              Russian",,    7635,,    3485,,    4145,,  188255,,   85400,,  102855,
"Mother tongue","              Serbian",,     200,,     100,,     100,,   57350,,   28535,,   28815,
"Mother tongue","              Serbo-Croatian",,       5,,       5,,       5,,    9555,,    4565,,    4985,
"Mother tongue","              Slovak",,      35,,      15,,      20,,   17580,,    8075,,    9510,
"Mother tongue","              Slovene (Slovenian)",,      15,,       5,,       5,,    9790,,    4415,,    5370,
"Mother tongue","              Ukrainian",,     475,,     190,,     280,,  102485,,   45440,,   57040,
"Mother tongue","              Slavic languages; n.i.e.",,      10,,       5,,       5,,    2415,,    1255,,    1165,
"Mother tongue","          Celtic languages",,       0,,       0,,       0,,    2690,,    1335,,    1360,
"Mother tongue","            Scottish Gaelic",,       0,,       0,,       0,,    1090,,     540,,     550,
"Mother tongue","            Welsh",,       0,,       0,,       0,,    1075,,     495,,     575,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,     530,,     295,,     235,
"Mother tongue","          Germanic languages",,     545,,     235,,     320,,  538765,,  258410,,  280350,
"Mother tongue","            Afrikaans",,       0,,       0,,       0,,   10265,,    5115,,    5145,
"Mother tongue","            Danish",,       0,,       0,,       0,,   12630,,    6245,,    6390,
"Mother tongue","            Dutch",,      30,,      15,,      15,,   99020,,   48200,,   50820,
"Mother tongue","            Frisian",,       0,,       0,,       0,,    2100,,    1095,,    1005,
"Mother tongue","            German",,     160,,      70,,      90,,  384035,,  183215,,  200820,
"Mother tongue","            Icelandic",,       0,,       0,,       0,,    1285,,     600,,     685,
"Mother tongue","            Norwegian",,       0,,       0,,       0,,    4615,,    2170,,    2445,
"Mother tongue","            Swedish",,       5,,       5,,       5,,    6840,,    3015,,    3825,
"Mother tongue","            Vlaams (Flemish)",,       0,,       5,,       0,,    3895,,    1730,,    2165,
"Mother tongue","            Yiddish",,     345,,     140,,     205,,   13555,,    6750,,    6800,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       0,,       0,,     525,,     280,,     240,
"Mother tongue","          Greek",,     155,,      80,,      75,,  106525,,   53350,,   53170,
"Mother tongue","          Indo-Iranian languages",,    2055,,    1075,,     980,, 1312750,,  664120,,  648630,
"Mother tongue","            Indo-Aryan languages",,     530,,     270,,     260,, 1064760,,  538530,,  526235,
"Mother tongue","              Bengali",,      80,,      40,,      40,,   73125,,   37410,,   35720,
"Mother tongue","              Gujarati",,      95,,      50,,      50,,  108780,,   55105,,   53670,
"Mother tongue","              Hindi",,      95,,      50,,      45,,  110640,,   55880,,   54765,
"Mother tongue","              Kashmiri",,       0,,       0,,       0,,     565,,     300,,     265,
"Mother tongue","              Konkani",,       5,,       0,,       0,,    3330,,    1625,,    1710,
"Mother tongue","              Marathi",,      20,,      10,,       5,,    8295,,    4300,,    3995,
"Mother tongue","              Nepali",,      55,,      15,,      35,,   18275,,    9230,,    9045,
"Mother tongue","              Oriya (Odia)",,       0,,       0,,       0,,    1055,,     560,,     495,
"Mother tongue","              Punjabi (Panjabi)",,      45,,      25,,      20,,  501680,,  253515,,  248160,
"Mother tongue","              Sindhi",,      15,,      10,,       5,,   11860,,    5605,,    6260,
"Mother tongue","              Sinhala (Sinhalese)",,      20,,      10,,       5,,   16335,,    8050,,    8285,
"Mother tongue","              Urdu",,     100,,      55,,      45,,  210815,,  106960,,  103860,
"Mother tongue","            Iranian languages",,    1475,,     775,,     705,,  242805,,  122835,,  119970,
"Mother tongue","              Kurdish",,      35,,      20,,      20,,   11705,,    6345,,    5355,
"Mother tongue","              Pashto",,      15,,       5,,      10,,   16910,,    8760,,    8145,
"Mother tongue","              Persian (Farsi)",,    1425,,     740,,     675,,  214200,,  107725,,  106470,
